record_id,product_key,variation_layer
R01060,P0467,1
R01278,P0569,1
R00215,P0093,1
R00334,P0152,3
R00577,P0254,2
R00388,P0175,1
R00977,P0430,1
R00545,P0240,3
R00604,P0266,1
R00888,P0391,3
R01333,P0596,2
R01186,P0524,1
R00278,P0126,1
R01078,P0476,1
R00708,P0311,3
R01260,P0562,2
R00905,P0398,2
R01258,P0561,2
R00567,P0250,1
R00817,P0359,3
R00178,P0078,1
R00037,P0016,2
R00249,P0112,1
R00328,P0149,2
R00277,P0125,1
R00615,P0270,2
R00108,P0048,1
R01214,P0536,2
R00652,P0286,2
R01249,P0555,1
R00055,P0024,1
R00732,P0324,2
R00022,P0010,1
R00032,P0014,2
R01201,P0531,1
R00240,P0109,3
R00956,P0420,1
R00637,P0281,3
R00669,P0294,3
R00039,P0017,2
R00424,P0189,1
R01287,P0574,2
R00253,P0114,3
R00389,P0176,1
R00840,P0368,2
R00363,P0166,3
R00773,P0339,1
R00684,P0301,3
R01151,P0507,1
R00130,P0059,3
R01133,P0500,1
R00976,P0429,2
R00347,P0159,1
R00248,P0112,1
R01310,P0586,2
R00357,P0163,2
R00393,P0178,1
R01035,P0456,1
R00006,P0003,1
R00963,P0423,1
R00636,P0280,1
R00833,P0365,2
R00556,P0244,1
R01234,P0547,2
R00677,P0297,2
R00670,P0295,3
R00582,P0256,3
R01135,P0500,2
R00229,P0103,2
R00506,P0223,1
R00409,P0183,1
R00706,P0310,2
R00500,P0221,1
R00996,P0438,1
R00052,P0022,2
R00385,P0174,1
R00720,P0318,2
R00676,P0296,3
R00690,P0303,2
R00304,P0137,1
R00660,P0290,2
R01316,P0589,1
R01120,P0495,2
R00559,P0246,1
R00478,P0212,2
R00397,P0179,1
R01097,P0482,2
R00609,P0267,1
R01334,P0596,2
R00154,P0068,3
R01247,P0554,1
R00131,P0060,3
R00061,P0027,3
R01129,P0498,1
R00410,P0183,3
R01296,P0579,1
R00296,P0134,1
R00782,P0345,1
R00427,P0190,2
R00216,P0094,2
R00696,P0305,2
R00169,P0074,1
R01105,P0488,2
R00340,P0156,3
R00769,P0338,2
R00710,P0312,2
R01332,P0596,1
R01237,P0548,1
R00233,P0104,3
R00897,P0395,1
R01297,P0580,1
R00354,P0162,3
R01206,P0533,2
R00766,P0338,1
R00167,P0073,2
R00898,P0396,1
R00507,P0223,3
R01195,P0529,2
R01168,P0515,2
R00561,P0247,1
R00344,P0158,1
R00360,P0164,1
R00883,P0389,3
R01017,P0449,2
R00476,P0211,2
R01115,P0492,1
R00118,P0053,2
R00776,P0341,2
R01125,P0497,1
R01146,P0505,3
R00994,P0437,1
R00342,P0158,1
R00785,P0346,1
R00106,P0047,1
R01059,P0467,2
R00566,P0250,1
R00780,P0343,2
R01022,P0451,3
R00551,P0243,2
R00802,P0354,1
R00947,P0416,2
R01055,P0465,1
R00855,P0377,2
R00463,P0206,1
R00648,P0285,2
R00919,P0404,1
R00054,P0023,2
R00467,P0207,1
R00053,P0023,2
R00352,P0161,3
R00938,P0413,2
R00331,P0150,1
R00824,P0362,1
R01142,P0503,1
R01044,P0459,2
R00752,P0333,2
R00245,P0110,1
R00721,P0318,3
R00638,P0281,1
R00902,P0397,2
R00681,P0299,3
R01180,P0521,1
R00221,P0097,2
R01289,P0576,1
R01256,P0559,1
R00483,P0214,3
R00870,P0385,1
R00050,P0021,3
R00893,P0394,2
R00808,P0356,2
R00568,P0250,2
R01018,P0449,1
R00187,P0082,1
R00881,P0388,2
R01269,P0565,2
R00456,P0204,1
R01067,P0472,1
R00579,P0255,1
R01063,P0470,1
R00673,P0295,2
R00231,P0104,1
R00619,P0273,2
R00612,P0269,2
R00327,P0148,2
R01065,P0471,1
R00908,P0399,1
R00351,P0161,2
R00350,P0161,2
R00837,P0367,1
R00214,P0093,3
R00779,P0343,2
R00704,P0310,1
R00430,P0192,1
R00554,P0244,2
R00763,P0336,2
R00440,P0196,1
R01153,P0509,1
R00355,P0162,1
R00774,P0340,1
R00981,P0431,1
R01118,P0494,3
R01038,P0457,2
R00486,P0215,1
R00104,P0046,1
R01179,P0520,1
R00370,P0168,1
R00447,P0201,1
R00593,P0261,2
R00966,P0425,1
R01253,P0558,2
R00830,P0364,1
R00682,P0300,1
R01127,P0497,1
R00193,P0083,1
R00979,P0430,1
R00986,P0433,3
R00420,P0188,1
R00861,P0379,1
R00279,P0126,1
R01145,P0504,2
R00036,P0016,1
R00849,P0373,1
R00880,P0388,2
R00033,P0014,1
R01109,P0489,1
R00835,P0367,2
R00874,P0386,3
R00890,P0392,3
R00869,P0385,3
R00916,P0403,2
R00576,P0254,3
R01071,P0473,1
R00242,P0110,1
R00515,P0227,2
R00862,P0380,2
R01028,P0454,1
R00762,P0336,1
R00663,P0291,1
R00547,P0241,1
R00962,P0423,1
R01325,P0593,2
R00211,P0091,1
R00176,P0077,2
R00896,P0395,1
R00310,P0140,2
R00999,P0440,3
R00683,P0300,1
R00924,P0406,1
R00330,P0150,3
R00601,P0264,2
R00183,P0079,1
R01277,P0569,2
R01092,P0480,1
R00606,P0266,1
R00212,P0092,1
R00153,P0068,1
R00834,P0366,2
R00794,P0350,2
R00166,P0073,3
R00111,P0049,2
R00102,P0045,3
R00575,P0253,3
R01131,P0499,3
R01309,P0586,3
R00484,P0214,1
R01299,P0580,3
R00195,P0084,1
R00526,P0232,3
R01116,P0493,1
R00152,P0067,2
R00258,P0116,2
R00539,P0238,1
R00299,P0135,1
R01183,P0521,1
R01073,P0474,2
R00432,P0193,1
R00257,P0116,1
R00520,P0230,1
R00338,P0155,1
R00998,P0440,2
R00381,P0173,3
R00138,P0062,1
R00923,P0406,2
R01339,P0599,1
R01037,P0457,3
R01184,P0522,1
R00079,P0035,1
R00438,P0195,2
R00263,P0118,1
R01157,P0511,1
R01290,P0577,1
R00437,P0194,1
R01162,P0512,2
R00742,P0327,2
R00680,P0299,1
R01229,P0545,1
R00179,P0078,3
R00686,P0302,1
R01083,P0477,1
R00072,P0031,1
R00444,P0199,3
R01027,P0453,2
R00622,P0274,1
R01033,P0456,2
R00605,P0266,1
R00417,P0187,1
R01140,P0503,2
R01292,P0578,1
R01220,P0540,3
R01328,P0594,2
R00077,P0033,2
R01174,P0518,1
R00781,P0344,3
R00141,P0063,1
R00207,P0089,3
R00511,P0225,1
R00283,P0128,1
R01147,P0505,1
R01015,P0448,1
R00386,P0175,2
R00810,P0357,1
R00895,P0395,1
R00402,P0181,1
R00186,P0081,1
R01016,P0448,1
R00786,P0347,1
R00292,P0131,1
R00935,P0412,2
R00464,P0206,3
R00955,P0420,1
R00114,P0051,1
R00025,P0012,1
R00552,P0243,2
R00043,P0019,1
R01217,P0538,1
R00549,P0242,1
R01222,P0541,2
R00770,P0339,1
R01288,P0575,1
R00984,P0433,1
R00980,P0431,1
R00965,P0424,3
R01161,P0512,1
R00760,P0336,2
R00454,P0203,1
R01159,P0511,2
R00027,P0012,3
R00161,P0071,1
R00772,P0339,2
R00882,P0389,3
R00339,P0155,3
R00829,P0364,2
R01216,P0537,2
R01177,P0520,3
R00866,P0383,1
R00293,P0131,3
R00495,P0219,1
R00450,P0202,1
R01231,P0546,1
R00080,P0036,2
R00280,P0127,2
R00728,P0321,2
R00259,P0117,1
R00723,P0319,1
R00159,P0071,2
R00206,P0089,2
R00378,P0172,3
R00062,P0027,1
R00649,P0285,2
R01306,P0585,1
R01068,P0472,1
R00820,P0361,1
R00046,P0020,2
R00371,P0169,1
R00374,P0171,1
R00252,P0114,2
R00217,P0094,3
R01051,P0462,1
R01093,P0480,2
R00953,P0419,1
R00624,P0276,1
R00859,P0378,1
R01335,P0597,1
R00733,P0324,3
R00885,P0390,2
R00672,P0295,2
R00839,P0368,1
R00656,P0288,1
R00132,P0060,1
R00294,P0132,2
R00741,P0327,3
R00014,P0008,1
R00630,P0278,2
R01143,P0504,1
R00273,P0123,1
R00516,P0228,1
R00536,P0236,3
R00775,P0340,2
R00101,P0044,1
R00872,P0386,1
R01248,P0555,1
R00270,P0122,2
R00501,P0222,1
R00925,P0406,1
R00512,P0226,2
R00070,P0031,1
R00822,P0361,1
R01110,P0490,1
R01259,P0561,1
R01025,P0452,1
R01012,P0447,1
R00550,P0242,1
R00795,P0351,2
R01054,P0464,1
R00664,P0292,1
R00376,P0171,2
R00425,P0189,1
R01144,P0504,1
R00661,P0290,1
R00811,P0357,2
R00711,P0313,2
R00288,P0130,2
R01200,P0531,1
R01221,P0541,3
R00666,P0293,3
R01326,P0594,2
R00042,P0018,1
R00841,P0368,1
R00659,P0290,2
R00903,P0398,3
R00709,P0312,1
R01282,P0572,3
R01101,P0484,1
R00534,P0235,1
R00602,P0265,1
R00473,P0210,3
R00228,P0103,1
R00482,P0214,1
R01322,P0591,2
R00416,P0186,3
R00603,P0266,2
R00091,P0041,1
R00429,P0191,2
R00224,P0100,2
R01062,P0469,1
R00778,P0342,1
R00490,P0216,2
R00443,P0198,1
R01313,P0587,1
R00392,P0177,1
R00543,P0240,1
R00940,P0414,2
R01312,P0587,1
R00535,P0235,1
R01227,P0545,1
R00035,P0015,1
R00223,P0099,2
R00319,P0144,1
R01305,P0584,1
R00654,P0286,2
R00362,P0165,2
R00147,P0066,1
R00988,P0434,3
R00687,P0302,3
R01156,P0510,1
R00151,P0067,2
R00959,P0422,2
R00689,P0302,1
R00492,P0217,1
R00093,P0041,1
R00435,P0194,1
R00510,P0225,2
R00452,P0203,3
R00563,P0248,1
R01268,P0565,1
R00891,P0392,2
R01181,P0521,1
R00372,P0169,2
R01056,P0465,1
R00876,P0387,1
R01119,P0494,3
R01061,P0468,2
R01225,P0543,2
R00807,P0356,1
R01291,P0577,1
R01075,P0474,2
R00323,P0146,3
R00990,P0436,1
R00246,P0111,1
R00015,P0008,2
R00875,P0387,2
R00599,P0263,1
R00972,P0428,2
R00768,P0338,2
R01273,P0567,3
R00641,P0283,1
R00580,P0255,1
R00057,P0025,3
R01270,P0565,3
R00639,P0282,1
R00082,P0036,2
R00848,P0373,2
R00610,P0268,2
R00135,P0061,1
R00127,P0058,2
R00236,P0107,2
R00738,P0325,1
R00712,P0314,2
R00819,P0360,3
R01005,P0443,1
R01223,P0542,1
R00365,P0166,2
R00853,P0376,1
R00614,P0270,1
R00341,P0157,2
R00124,P0056,1
R00697,P0306,1
R00353,P0161,3
R01095,P0481,2
R01238,P0548,1
R00909,P0400,2
R00346,P0159,3
R00075,P0032,1
R00569,P0251,1
R00522,P0231,3
R01170,P0516,1
R01233,P0546,3
R00208,P0090,2
R01293,P0578,3
R01176,P0519,1
R01160,P0512,1
R00423,P0188,2
R00653,P0286,2
R00023,P0011,1
R00204,P0089,1
R00412,P0184,1
R00694,P0304,3
R00089,P0039,1
R01275,P0568,3
R01198,P0530,1
R00146,P0065,2
R01084,P0478,1
R00975,P0429,1
R00011,P0007,2
R00740,P0327,2
R00838,P0367,1
R00658,P0289,2
R00063,P0027,1
R00472,P0209,3
R00647,P0284,2
R00538,P0237,2
R00285,P0129,3
R00827,P0363,3
R00631,P0278,1
R00175,P0076,1
R01318,P0589,1
R01117,P0493,2
R01262,P0562,1
R00442,P0197,1
R00145,P0065,1
R00945,P0415,1
R01197,P0529,1
R00961,P0422,2
R00952,P0418,2
R01041,P0458,2
R00815,P0359,3
R00345,P0158,1
R01261,P0562,1
R00863,P0380,1
R01207,P0533,1
R00007,P0004,2
R01026,P0453,1
R00572,P0253,1
R00359,P0164,2
R00816,P0359,1
R00199,P0086,1
R01030,P0454,1
R00367,P0167,1
R00747,P0330,1
R00521,P0231,1
R01280,P0570,2
R00157,P0070,1
R00318,P0143,2
R00048,P0020,2
R01321,P0591,1
R00260,P0117,1
R01010,P0445,1
R01163,P0513,1
R00391,P0176,3
R00400,P0180,1
R01064,P0470,2
R01235,P0548,2
R01057,P0466,1
R00009,P0006,1
R00284,P0128,3
R00477,P0211,1
R01271,P0566,2
R00634,P0280,1
R00471,P0209,1
R00892,P0393,2
R00485,P0215,1
R01274,P0567,3
R00783,P0345,1
R00238,P0108,1
R00926,P0407,1
R01114,P0492,3
R00113,P0050,1
R00854,P0376,3
R00201,P0087,3
R00073,P0032,2
R00744,P0328,1
R00758,P0335,2
R00198,P0086,1
R00227,P0102,1
R00864,P0381,1
R00693,P0304,2
R00349,P0160,1
R00261,P0117,1
R00460,P0205,1
R00230,P0103,3
R01243,P0552,1
R01164,P0513,2
R00031,P0013,1
R00585,P0258,2
R01013,P0447,1
R00266,P0120,3
R00373,P0170,1
R00801,P0353,2
R00000,P0000,1
R00394,P0178,1
R00049,P0021,1
R00850,P0374,2
R00311,P0140,3
R00703,P0309,2
R00326,P0147,2
R00995,P0438,2
R01124,P0496,1
R01251,P0556,3
R00173,P0075,1
R00570,P0252,1
R01128,P0497,1
R00314,P0142,2
R01072,P0473,1
R00419,P0187,1
R00719,P0318,2
R01099,P0482,1
R00667,P0293,1
R00906,P0399,1
R01295,P0579,1
R00793,P0350,3
R01272,P0567,1
R00449,P0201,2
R00957,P0421,1
R00262,P0118,2
R01242,P0552,1
R00617,P0272,1
R00911,P0401,1
R00041,P0017,3
R01266,P0564,2
R01006,P0443,1
R00771,P0339,1
R00298,P0135,1
R00333,P0151,1
R00716,P0316,1
R00665,P0293,1
R00021,P0010,2
R00936,P0412,1
R00470,P0208,3
R01074,P0474,1
R00717,P0316,1
R01182,P0521,2
R00679,P0299,1
R00523,P0232,1
R00312,P0141,1
R00922,P0406,1
R01045,P0460,2
R01141,P0503,1
R01094,P0481,3
R00560,P0246,1
R01244,P0553,3
R00702,P0308,2
R00462,P0206,1
R00713,P0315,1
R00428,P0191,1
R01008,P0444,1
R00239,P0109,1
R00761,P0336,2
R00003,P0001,1
R00914,P0403,1
R00727,P0320,3
R00707,P0310,1
R00831,P0365,1
R01336,P0597,1
R00421,P0188,2
R00364,P0166,2
R00844,P0370,2
R00165,P0073,1
R00613,P0269,1
R00087,P0039,1
R00553,P0244,1
R00754,P0333,1
R00074,P0032,1
R00012,P0007,1
R00302,P0136,1
R00651,P0285,1
R00591,P0260,3
R01011,P0446,1
R00398,P0179,3
R00406,P0182,3
R00907,P0399,1
R00407,P0182,1
R00115,P0052,2
R00805,P0355,2
R00645,P0284,1
R00436,P0194,3
R00172,P0075,2
R01148,P0505,1
R01050,P0461,1
R00100,P0044,2
R00232,P0104,1
R00858,P0377,1
R00746,P0329,1
R00019,P0009,2
R00181,P0078,1
R00503,P0222,2
R00627,P0277,1
R00917,P0404,3
R01023,P0452,2
R01096,P0482,2
R01283,P0572,1
R01002,P0442,2
R01264,P0563,3
R00411,P0184,3
R00540,P0238,3
R00202,P0088,1
R01152,P0508,3
R00621,P0274,3
R00109,P0048,2
R00241,P0109,1
R00918,P0404,1
R00426,P0190,2
R00845,P0371,1
R00064,P0028,2
R00685,P0301,3
R00390,P0176,1
R00026,P0012,1
R01077,P0475,2
R00303,P0137,3
R00051,P0021,2
R00643,P0283,1
R00313,P0141,2
R00008,P0005,1
R00383,P0173,1
R01250,P0555,2
R00276,P0125,1
R00487,P0215,1
R01281,P0571,1
R01185,P0523,2
R00120,P0054,1
R00267,P0121,1
R00366,P0167,2
R01036,P0456,3
R00225,P0101,2
R01224,P0543,1
R00017,P0009,1
R00505,P0223,2
R00629,P0278,1
R00191,P0083,1
R01082,P0477,1
R00489,P0216,1
R01138,P0502,1
R01215,P0536,2
R00799,P0352,1
R01158,P0511,1
R00765,P0337,2
R00756,P0334,1
R00189,P0082,1
R00524,P0232,2
R00628,P0277,1
R00745,P0329,1
R00913,P0402,1
R01208,P0533,3
R00828,P0363,3
R01178,P0520,1
R00408,P0183,1
R00796,P0351,2
R00458,P0204,3
R00286,P0129,2
R00826,P0363,1
R00823,P0362,1
R01001,P0441,1
R00337,P0154,3
R00597,P0262,2
R00445,P0199,1
R00301,P0136,1
R00336,P0154,1
R00136,P0061,2
R00529,P0234,2
R00564,P0249,1
R01232,P0546,1
R01219,P0539,3
R00750,P0331,2
R01203,P0531,1
R00640,P0282,2
R00608,P0267,1
R00537,P0237,1
R01049,P0461,2
R00335,P0153,1
R00466,P0207,1
R00813,P0358,1
R01113,P0492,1
R00308,P0140,1
R00180,P0078,1
R00933,P0410,3
R00200,P0087,2
R00295,P0133,2
R01254,P0559,2
R00164,P0072,1
R00322,P0145,2
R00044,P0019,2
R00598,P0263,1
R00594,P0261,2
R00083,P0037,1
R00993,P0437,1
R00797,P0351,2
R01103,P0486,2
R00974,P0429,3
R00777,P0341,2
R00065,P0029,1
R01019,P0449,3
R00272,P0123,2
R00143,P0065,1
R00927,P0408,2
R00657,P0289,1
R00047,P0020,2
R01213,P0536,2
R00315,P0143,2
R00403,P0181,1
R00581,P0256,3
R00921,P0405,2
R01020,P0450,1
R00413,P0185,2
R00005,P0002,1
R00513,P0226,1
R01212,P0535,2
R00329,P0149,1
R01053,P0463,2
R01112,P0492,1
R00734,P0324,1
R00701,P0308,1
R00623,P0275,1
R00737,P0325,1
R00439,P0195,1
R00034,P0015,2
R00971,P0428,1
R00210,P0091,1
R00067,P0029,1
R00140,P0063,1
R01070,P0473,1
R00915,P0403,2
R00018,P0009,3
R00571,P0252,1
R00133,P0060,3
R00699,P0308,1
R01317,P0589,1
R00533,P0235,1
R00671,P0295,2
R00256,P0116,1
R00557,P0245,3
R00446,P0200,1
R01196,P0529,2
R00818,P0360,1
R01007,P0444,1
R00457,P0204,3
R00951,P0418,1
R00237,P0108,2
R00978,P0430,1
R00142,P0064,1
R00250,P0113,2
R00291,P0131,2
R00219,P0096,2
R00668,P0294,3
R01210,P0534,1
R00718,P0317,1
R00282,P0127,2
R00040,P0017,1
R00806,P0355,2
R00071,P0031,3
R00868,P0384,2
R00203,P0088,1
R00590,P0260,3
R01263,P0563,1
R01338,P0599,3
R00910,P0401,2
R01107,P0488,1
R01098,P0482,1
R00748,P0330,2
R01323,P0592,2
R00321,P0145,2
R01191,P0528,2
R00125,P0056,1
R00583,P0257,1
R01327,P0594,3
R00076,P0033,2
R00932,P0410,2
R00024,P0011,1
R01121,P0495,1
R00234,P0105,1
R00548,P0242,2
R01021,P0451,1
R00168,P0073,1
R01173,P0517,1
R00836,P0367,1
R01009,P0444,1
R00755,P0333,3
R01257,P0560,3
R00595,P0261,1
R00324,P0146,1
R00086,P0038,1
R00650,P0285,2
R01303,P0583,2
R00058,P0025,2
R00404,P0181,1
R00573,P0253,1
R00904,P0398,1
R00912,P0401,2
R00626,P0276,1
R01090,P0480,2
R00541,P0238,1
R00942,P0414,1
R00384,P0173,1
R01086,P0478,1
R00985,P0433,1
R00379,P0172,3
R01300,P0581,1
R01193,P0528,3
R01076,P0474,2
R00655,P0287,3
R01189,P0526,1
R01218,P0539,2
R00160,P0071,1
R00059,P0025,1
R00148,P0066,1
R00174,P0075,1
R00088,P0039,2
R01029,P0454,2
R00954,P0420,2
R00726,P0320,2
R00265,P0119,1
R00480,P0212,2
R00066,P0029,3
R00209,P0091,3
R00297,P0134,1
R01337,P0598,1
R00156,P0069,3
R00901,P0396,1
R00182,P0079,1
R00700,P0308,1
R01100,P0483,3
R00931,P0410,2
R00969,P0426,2
R00930,P0409,2
R00317,P0143,1
R00158,P0071,1
R00205,P0089,2
R00832,P0365,2
R00128,P0058,3
R00090,P0040,3
R00558,P0246,1
R00825,P0363,3
R00871,P0386,3
R00170,P0074,1
R00289,P0130,2
R01276,P0568,1
R00190,P0082,3
R01130,P0498,1
R00867,P0383,1
R00095,P0042,1
R00459,P0205,2
R01319,P0590,3
R00271,P0123,2
R00192,P0083,1
R00433,P0193,1
R00724,P0320,1
R00465,P0207,2
R00098,P0043,1
R00592,P0261,1
R00105,P0046,1
R00185,P0081,1
R00244,P0110,2
R00842,P0369,2
R00137,P0061,1
R00038,P0016,2
R00468,P0208,3
R00504,P0223,1
R00085,P0038,1
R00725,P0320,1
R00678,P0298,1
