record_id,price
R02169,4799
R02172,6827
R02187,19984
R02196,413
R02198,2095
R02199,20145
R02202,671
R02209,11161
R02210,8495
R02211,126081
R02220,16596
R02221,2821
R02222,4789
R02236,4347
R02237,29211
R02240,41338
R02243,11933
R02259,6036
R02278,5394
R02279,57964
R02296,22903
R02303,1328
R02309,11392
R02311,5524
R02313,4016
R02316,3940
R02319,34972
R02323,68551
R02328,68595
R02330,3543
R02336,4640
R02345,561
R02355,623
R02368,7260
R02380,4836
R02395,13694
R02401,16531
R02408,5020
R02414,15633
R02417,13317
R02432,3354
R02433,887
R02441,2602
R02443,12059
R02456,4449
R02467,2346
R02473,12939
R02477,67264
R02478,11136
R02480,3968
R02483,2015
R02484,5947
R02491,12717
R02496,10656
R02514,4621
R02518,89341
R02520,9686
R02536,3552
R02539,1179
R02554,1760
R02565,28075
R02566,19456
R02572,121441
R02575,8235
R02580,3651
R02588,1937
R02589,8098
R02606,2775
R02613,13782
R02615,26518
R02648,746
R02653,21775
R02668,559
R02671,69359
R02680,113115
R02682,8027
R02683,11964
R02702,25998
R02703,2972
R02705,6027
R02708,8902
R02732,160050
R02740,11187
R02743,18831
R02747,1620
R02756,775
R02763,164598
R02773,18591
R02777,13995
R02780,20388
R02781,18114
R02783,12546
R02796,48389
R02802,18971
R02806,5249
R02821,10357
R02836,2384
R02837,2088
R02841,17246
R02851,4034
R02859,7203
R02861,1050
R02862,11284
R02871,9352
R02875,3557
R02888,8232
R02891,1152
R02893,9806
R02900,7098
R02907,1424
R02909,13620
R02926,10820
R02927,2698
R02934,28565
R02956,4934
R02961,778
R02968,4131
R02971,589
R02972,10596
R02983,6886
R03015,2940
R03016,17134
R03017,3829
R03020,13934
R03028,34110
R03033,3939
R03037,7290
R03041,5013
R03066,9548
R03067,57437
R03070,11359
R03071,2449
R03074,2591
R03097,6675
R03104,6483
R03108,392882
R03118,3644
R03132,11395
R03140,1645
R03141,21442
R03143,4346
R03144,1667
R03150,11987
R03153,7115
R03157,15115
R03186,2251
R03198,14705
R03199,4156
R03231,44010
R03239,2489
R03244,3977
R03245,864
R03249,2981
R03252,34236
R03253,3363
R03259,23998
R03261,3437
R03262,92609
R03263,2429
R03264,11721
R03266,4925
R03274,37510
R03279,64523
R03289,19453
R03290,4194
R03293,3208
R03296,12569
R03299,17642
R03302,2638
R03305,140539
R03306,4711
R03320,2202
R03326,21564
R03328,69746
R03344,14789
R03348,4992
R03363,16119
R03365,7727
R03380,31362
R03392,72621
R03393,15612
R03395,4931
R03397,45434
R03400,2502
R03401,6510
R03405,105914
R03408,73324
R03415,151481
R03430,2175
R03440,1262
R03454,27497
R03462,9248
R03465,13273
R03479,5260
R03484,40913
R03490,60382
R03499,6662
R03501,19538
R03505,700
R03514,11455
R03517,6743
R03524,3502
R03544,16315
R03550,2831
R03551,12792
R03559,17652
R03569,625
R03573,1610
R03580,6295
R03581,5682
R03583,40318
R03587,5784
R03594,20520
R03597,11336
R03602,263804
R03606,9586
R03624,9606
R03625,2215
R03633,3371
R03643,28432
R03646,19137
R03651,70564
R03660,60479
R03671,3010
R03683,2415
R03689,4383
R03695,4435
R03703,17211
R03712,4216
R03719,1004
R03720,13128
R03727,9694
R03730,35323
R03753,3253
R03781,10738
R03782,46939
R03784,77612
R03788,600
R03792,7243
R03796,7394
R03802,125162
R03803,570
R03815,895
R03819,1943
R03824,14685
R03838,918
R03847,5072
R03853,7157
R03861,12479
R03863,14576
R03873,7682
R03876,2229
R03880,6364
R03887,752
R03891,10582
R03897,5308
R03898,17293
R03905,44695
R03907,1267
R03927,6669
R03934,737
R03935,33668
R03943,16936
R03950,13185
R03966,8499
R03968,801
R03992,596
R03996,8632
R04005,26804
R04014,536
R04016,6567
R04017,12708
R04022,10434
R04029,11339
R04041,3557
R04051,1115
R04052,42520
R04057,542
R04061,34676
R04062,2474
R04065,80144
R04066,5164
R04070,241170
R04071,1555
R04080,4489
R04081,96944
R04084,9545
R04086,24455
R04094,1860
R04096,15691
R04105,4817
R04106,9092
R04130,21610
R04138,18260
R04145,18589
R04153,255151
R04155,350791
R04161,56711
R04174,805
R04188,16289
R04190,28245
R04199,7374
R04201,1941
R04209,5627
R04215,6604
R04221,4494
R04230,473
R04240,53862
R04263,30472
R04264,1824
R04270,1515
R04279,18446
R04284,12155
R04289,1264
R04293,9702
R04296,2190
R04300,2213
R04311,248917
R04319,3798
R04321,2563
R04327,3244
R04334,28830
R04339,32603
R04348,3159
R04352,2491
R04364,582
R04369,4419
R04381,8663
R04400,23725
R04401,58876
R04405,1181
R04409,79118
R04419,13069
R04434,6465
R04439,8483
R04454,435
R04475,6396
R04479,2807
R04484,1093
R04492,2860
R04498,648
R04505,18644
R04508,5191
R04512,20275
R04515,338164
R04524,327283
R04526,7433
R04537,14026
R04539,32805
R04545,3052
R04547,12806
R04558,1784
R04562,18546
R04589,21361
R04591,15062
R04593,1876
R04598,7857
R04602,11085
R04617,7255
R04627,10093
R04629,3982
R04637,461
R04647,1838
R04654,6813
R04655,158209
R04656,5309
R04662,4618
R04663,3969
R04665,14629
R04667,2394
R04677,3605
R04691,9552
R04695,5249
R04704,4542
R04721,3558
R04743,296944
R04744,1085
R04745,22431
R04749,2326
R04756,97482
R04768,55906
R04785,2308
R04787,849
R04814,2920
R04817,28882
R04831,9322
R04860,6246
R04872,55593
R04877,7621
R04881,11636
R04888,12970
R04892,30220
R04900,8161
R04915,22350
R04917,3903
R04919,15161
R04943,10948
R04946,2798
R04954,10234
R04964,1737
R04966,15669
R04969,3104
R04976,1466
R04982,35547
R05001,1441
R05008,3882
R05010,4576
R05012,4971
R05013,5159
