record_id,product_key,model_code,category,brand_tier,site,collected_at,condition,views,title_len,price
R00025,P01393,MC-1362-1393,家電,0,site_E,2025-12-15,新品,257,52,83507
R00026,P00963,MC-1453-0963,ホビー,0,site_A,2026-01-08,ほぼ新品,138,74,5984
R00029,P01578,MC-7940-1578,ホビー,0,site_B,2025-11-25,新品,314,26,39767
R00030,P00010,MC-3474-0010,スポーツ,1,site_B,2026-02-25,傷や汚れあり,95,56,10244
R00031,P00149,MC-2687-0149,家電,0,site_B,2026-01-16,ほぼ新品,171,95,21606
R00032,P00853,MC-8444-0853,ホビー,2,site_A,2025-12-09,ほぼ新品,108,45,14030
R00033,P00565,MC-9309-0565,スポーツ,0,site_E,2026-02-19,全体的に状態が悪い,92,94,2243
R00034,P00277,MC-2303-0277,ファッション,1,site_A,2025-11-21,全体的に状態が悪い,149,119,6326
R00035,P02023,MC-8212-2023,ファッション,0,site_E,2025-11-10,傷や汚れあり,363,21,10249
R00036,P01319,MC-5619-1319,家電,1,site_D,2026-02-20,ほぼ新品,129,55,45235
R00038,P01893,MC-7974-1893,ホビー,0,site_A,2026-02-28,新品,98,24,8514
R00039,P00707,MC-8733-0707,家電,0,site_C,2025-12-02,ほぼ新品,362,112,18152
R00040,P00738,MC-8797-0738,家電,0,site_A,2025-10-20,ほぼ新品,106,24,13609
R00042,P01025,MC-5199-1025,家電,0,site_A,2026-02-23,全体的に状態が悪い,176,46,2987
R00043,P00230,MC-5373-0230,ファッション,1,site_D,2025-11-11,新品,140,56,5266
R00044,P00255,MC-8486-0255,家電,0,site_D,2025-10-27,傷や汚れあり,77,59,21508
R00045,P00729,MC-1975-0729,ホビー,0,site_A,2025-11-27,新品,68,98,12939
R00046,P00086,MC-3156-0086,ファッション,1,site_B,2025-11-24,傷や汚れあり,75,77,11609
R00047,P00355,MC-8197-0355,ホビー,1,site_D,2026-01-23,傷や汚れあり,187,96,4862
R00048,P00017,MC-7631-0017,本・音楽,1,site_C,2025-11-03,ほぼ新品,264,39,1702
R00049,P02151,MC-6294-2151,ファッション,0,site_E,2025-12-13,ほぼ新品,49,29,4060
R00051,P01742,MC-8001-1742,スポーツ,0,site_E,2025-11-28,傷や汚れあり,252,97,10144
R00052,P01159,MC-8069-1159,ホビー,1,site_C,2025-11-08,全体的に状態が悪い,213,50,8791
R00053,P01315,MC-2459-1315,スポーツ,1,site_B,2025-10-21,傷や汚れあり,226,112,11726
R00054,P02140,MC-1220-2140,ファッション,0,site_B,2025-10-29,ほぼ新品,115,26,4834
R00055,P00424,MC-9508-0424,スポーツ,0,site_B,2025-10-24,ほぼ新品,231,92,11528
R00056,P00374,MC-3761-0374,ファッション,1,site_A,2025-10-26,傷や汚れあり,161,35,8659
R00058,P01147,MC-2013-1147,家電,0,site_A,2026-01-11,傷や汚れあり,320,56,21410
R00059,P02001,MC-7589-2001,本・音楽,0,site_E,2025-12-19,新品,286,60,2186
R00060,P00576,MC-4258-0576,本・音楽,0,site_D,2025-10-22,傷や汚れあり,209,93,1260
R00061,P00221,MC-4500-0221,スポーツ,2,site_C,2026-02-20,新品,129,83,6841
R00063,P00953,MC-1858-0953,ホビー,0,site_E,2025-10-17,全体的に状態が悪い,65,128,3685
R00064,P00895,MC-8035-0895,ファッション,1,site_D,2026-02-12,傷や汚れあり,387,37,9103
R00065,P02147,MC-7921-2147,家電,0,site_C,2026-02-20,ほぼ新品,176,68,45987
R00066,P00418,MC-3208-0418,ファッション,0,site_B,2026-02-27,傷や汚れあり,102,92,4179
R00068,P00883,MC-9672-0883,ホビー,0,site_B,2025-11-25,ほぼ新品,43,87,23669
R00069,P00259,MC-4494-0259,本・音楽,0,site_A,2025-11-16,ほぼ新品,191,69,2221
R00070,P01659,MC-2135-1659,家電,2,site_B,2025-12-21,新品,247,91,237417
R00071,P00421,MC-5904-0421,家電,1,site_E,2026-01-05,ほぼ新品,379,129,18481
R00072,P01137,MC-5957-1137,ホビー,1,site_E,2026-02-28,新品,320,75,7533
R00073,P00722,MC-4256-0722,ファッション,1,site_A,2025-12-11,ほぼ新品,108,109,4145
R00075,P01743,MC-3099-1743,家電,1,site_A,2025-10-18,全体的に状態が悪い,71,91,17910
R00076,P01725,MC-4852-1725,ファッション,0,site_B,2026-02-05,新品,248,56,14505
R00077,P02163,MC-5859-2163,スポーツ,0,site_C,2025-12-16,傷や汚れあり,41,125,1849
R00078,P01419,MC-3519-1419,ホビー,0,site_C,2026-01-27,傷や汚れあり,163,21,2026
R00079,P02005,MC-2554-2005,スポーツ,1,site_C,2025-11-02,傷や汚れあり,86,83,19463
R00080,P00689,MC-6422-0689,ホビー,1,site_D,2026-01-28,ほぼ新品,108,57,10686
R00081,P00205,MC-3920-0205,ホビー,1,site_B,2026-01-02,傷や汚れあり,182,112,5131
R00083,P01249,MC-8343-1249,ファッション,1,site_B,2025-11-12,傷や汚れあり,33,116,3546
R00084,P00476,MC-1851-0476,スポーツ,1,site_C,2025-12-15,傷や汚れあり,94,16,4254
R00085,P00511,MC-7131-0511,ファッション,2,site_B,2026-01-15,ほぼ新品,89,38,8617
R00086,P00229,MC-3454-0229,スポーツ,1,site_A,2026-02-02,傷や汚れあり,126,73,3653
R00087,P00216,MC-5845-0216,ホビー,0,site_C,2025-10-08,新品,62,37,11491
R00088,P02181,MC-7780-2181,ホビー,2,site_A,2025-11-19,ほぼ新品,85,79,23614
R00089,P01715,MC-5081-1715,ホビー,0,site_E,2025-12-26,ほぼ新品,44,44,4013
R00090,P00603,MC-4268-0603,スポーツ,1,site_B,2026-02-08,ほぼ新品,209,128,10512
R00093,P01588,MC-8191-1588,本・音楽,0,site_A,2026-01-12,新品,47,86,1284
R00094,P01085,MC-3735-1085,家電,0,site_A,2025-12-19,傷や汚れあり,122,101,13582
R00095,P00829,MC-2577-0829,ファッション,0,site_B,2025-12-06,傷や汚れあり,35,87,5478
R00096,P00019,MC-7041-0019,ファッション,1,site_E,2025-11-29,ほぼ新品,235,58,18459
R00097,P00119,MC-6420-0119,ホビー,1,site_C,2025-10-22,ほぼ新品,243,115,15522
R00098,P00674,MC-5090-0674,ホビー,1,site_D,2025-12-25,ほぼ新品,140,94,13846
R00100,P01949,MC-7122-1949,ホビー,0,site_B,2025-10-17,傷や汚れあり,182,45,5356
R00101,P00455,MC-1766-0455,本・音楽,0,site_E,2025-10-30,新品,23,74,2077
R00102,P00594,MC-6459-0594,ホビー,1,site_E,2025-11-15,ほぼ新品,158,48,8957
R00103,P00311,MC-5254-0311,スポーツ,2,site_B,2025-11-11,全体的に状態が悪い,251,89,12671
R00104,P00567,MC-2926-0567,スポーツ,0,site_E,2025-11-18,傷や汚れあり,170,82,7924
R00105,P01316,MC-3735-1316,家電,1,site_D,2025-11-26,ほぼ新品,15,41,84168
R00106,P01113,MC-9227-1113,ホビー,0,site_E,2025-10-17,ほぼ新品,250,73,7228
R00107,P00834,MC-8241-0834,スポーツ,0,site_C,2025-10-29,傷や汚れあり,203,18,8182
R00108,P01140,MC-4581-1140,家電,0,site_E,2025-12-25,ほぼ新品,183,89,130338
R00109,P01626,MC-9619-1626,ファッション,0,site_C,2026-01-12,ほぼ新品,125,69,7682
R00110,P02036,MC-5203-2036,ファッション,2,site_E,2025-12-24,全体的に状態が悪い,128,53,4342
R00111,P00471,MC-9549-0471,ファッション,0,site_E,2025-12-18,傷や汚れあり,37,118,4142
R00112,P01138,MC-3251-1138,ホビー,0,site_D,2025-12-07,新品,165,33,8168
R00113,P01309,MC-5000-1309,ファッション,2,site_B,2026-02-01,ほぼ新品,91,18,11532
R00114,P00166,MC-6623-0166,スポーツ,0,site_A,2026-01-10,傷や汚れあり,214,73,11763
R00115,P00831,MC-8050-0831,ファッション,0,site_B,2025-12-29,新品,57,89,8406
R00117,P00633,MC-8589-0633,スポーツ,0,site_D,2025-11-02,ほぼ新品,86,78,10017
R00118,P02165,MC-5706-2165,家電,1,site_A,2026-01-02,傷や汚れあり,268,104,18618
R00119,P02081,MC-1959-2081,家電,0,site_B,2025-10-14,ほぼ新品,40,51,114552
R00120,P01618,MC-4075-1618,ファッション,0,site_B,2026-02-08,傷や汚れあり,158,60,3392
R00121,P00898,MC-2343-0898,ホビー,0,site_A,2025-11-17,傷や汚れあり,30,107,9530
R00123,P00198,MC-2228-0198,ファッション,1,site_B,2026-01-18,ほぼ新品,196,49,8072
R00124,P00843,MC-1538-0843,本・音楽,0,site_E,2025-12-07,新品,50,67,1068
R00125,P02153,MC-9643-2153,ホビー,1,site_C,2025-11-19,全体的に状態が悪い,160,102,2894
R00126,P01486,MC-3621-1486,ファッション,0,site_C,2026-01-12,傷や汚れあり,40,114,2043
R00127,P00659,MC-4864-0659,ファッション,0,site_C,2025-10-20,新品,175,27,3863
R00128,P01069,MC-6861-1069,本・音楽,1,site_B,2025-12-17,ほぼ新品,92,84,2341
R00130,P00524,MC-3764-0524,家電,0,site_C,2025-12-03,ほぼ新品,112,54,7894
R00131,P01380,MC-3425-1380,本・音楽,0,site_B,2026-02-21,全体的に状態が悪い,156,19,638
R00132,P01848,MC-4280-1848,家電,1,site_A,2025-11-23,ほぼ新品,53,35,50319
R00133,P00039,MC-5403-0039,家電,0,site_B,2025-10-24,ほぼ新品,43,101,42538
R00134,P01055,MC-6756-1055,スポーツ,2,site_E,2026-02-10,傷や汚れあり,181,128,5707
R00136,P00136,MC-8282-0136,ファッション,0,site_D,2026-02-09,傷や汚れあり,110,45,4290
R00137,P00921,MC-7568-0921,ホビー,2,site_B,2026-02-03,ほぼ新品,136,76,38823
R00138,P00969,MC-3429-0969,家電,0,site_A,2025-11-23,ほぼ新品,112,113,14455
R00139,P02106,MC-1608-2106,本・音楽,0,site_D,2025-10-18,ほぼ新品,355,79,1722
R00140,P00242,MC-8265-0242,ファッション,2,site_A,2025-12-06,ほぼ新品,113,124,5039
R00141,P01101,MC-1905-1101,本・音楽,0,site_B,2025-11-07,傷や汚れあり,393,37,767
R00142,P00883,MC-9672-0883,ホビー,0,site_E,2025-11-21,傷や汚れあり,281,62,9882
R00143,P01100,MC-8599-1100,家電,1,site_D,2025-10-05,傷や汚れあり,304,31,48863
R00144,P01310,MC-7910-1310,家電,2,site_E,2026-01-30,傷や汚れあり,103,87,28665
R00145,P01215,MC-3369-1215,スポーツ,2,site_C,2025-12-08,ほぼ新品,11,57,29392
R00146,P02045,MC-6468-2045,家電,1,site_B,2025-12-15,傷や汚れあり,26,18,86107
R00149,P00274,MC-7996-0274,家電,0,site_E,2026-01-20,傷や汚れあり,92,70,11104
R00150,P00584,MC-4581-0584,ホビー,1,site_E,2026-02-14,傷や汚れあり,220,87,11833
R00151,P00351,MC-4875-0351,家電,0,site_D,2025-10-21,全体的に状態が悪い,213,22,37443
R00153,P02107,MC-1152-2107,ホビー,0,site_E,2026-01-20,傷や汚れあり,263,30,3438
R00154,P02000,MC-1353-2000,スポーツ,0,site_C,2026-02-03,ほぼ新品,360,99,10547
R00155,P00922,MC-9003-0922,ホビー,1,site_A,2025-12-30,傷や汚れあり,102,98,5259
R00156,P00957,MC-4024-0957,ファッション,0,site_B,2026-02-24,傷や汚れあり,117,95,2652
R00157,P01875,MC-3460-1875,ホビー,0,site_B,2025-12-12,ほぼ新品,139,106,12482
R00158,P00408,MC-9421-0408,家電,0,site_B,2026-01-14,ほぼ新品,181,93,16901
R00159,P01805,MC-4757-1805,ファッション,1,site_E,2025-12-05,新品,151,45,20796
R00161,P01753,MC-3586-1753,家電,0,site_A,2026-01-17,ほぼ新品,72,90,20386
R00163,P00759,MC-8305-0759,ファッション,0,site_A,2026-02-20,傷や汚れあり,104,83,1613
R00164,P01878,MC-7329-1878,本・音楽,2,site_B,2026-02-19,全体的に状態が悪い,132,29,1237
R00165,P01594,MC-3604-1594,本・音楽,1,site_E,2025-10-13,傷や汚れあり,209,78,1837
R00166,P00041,MC-6487-0041,ファッション,2,site_C,2025-12-07,ほぼ新品,197,42,9628
R00167,P00494,MC-2106-0494,本・音楽,0,site_C,2026-01-10,傷や汚れあり,100,64,896
R00168,P00890,MC-5197-0890,家電,2,site_A,2025-10-16,全体的に状態が悪い,252,62,28336
R00169,P00929,MC-1625-0929,ファッション,0,site_A,2026-01-18,傷や汚れあり,181,111,6854
R00170,P00077,MC-3884-0077,スポーツ,0,site_C,2026-02-01,傷や汚れあり,169,15,6055
R00172,P00821,MC-3789-0821,ホビー,1,site_D,2025-12-26,傷や汚れあり,288,125,16991
R00173,P00056,MC-5116-0056,ファッション,1,site_B,2026-01-11,ほぼ新品,177,119,9628
R00174,P01725,MC-4852-1725,ファッション,0,site_E,2026-02-08,全体的に状態が悪い,34,18,2447
R00175,P01323,MC-3319-1323,家電,1,site_A,2025-10-12,傷や汚れあり,149,126,34200
R00176,P00733,MC-2898-0733,家電,2,site_B,2025-10-25,ほぼ新品,166,28,41808
R00177,P02059,MC-8330-2059,本・音楽,0,site_A,2026-02-27,傷や汚れあり,100,127,1511
R00178,P01987,MC-9764-1987,家電,1,site_B,2025-11-03,全体的に状態が悪い,210,25,66332
R00181,P00003,MC-4641-0003,本・音楽,0,site_C,2025-11-02,新品,599,74,850
R00182,P00791,MC-1798-0791,ホビー,1,site_C,2025-12-29,傷や汚れあり,61,110,11101
R00183,P00053,MC-8549-0053,スポーツ,0,site_C,2026-01-11,全体的に状態が悪い,185,34,5277
R00185,P00818,MC-8743-0818,ファッション,0,site_B,2025-12-21,ほぼ新品,51,41,2844
R00186,P00664,MC-3312-0664,家電,0,site_C,2025-10-04,ほぼ新品,61,67,24560
R00187,P00936,MC-8415-0936,ホビー,1,site_C,2025-12-23,ほぼ新品,53,68,11122
R00188,P01847,MC-6119-1847,ファッション,0,site_A,2025-12-29,傷や汚れあり,200,123,6432
R00189,P01149,MC-8142-1149,スポーツ,1,site_B,2025-11-17,傷や汚れあり,176,116,9796
R00190,P01032,MC-8216-1032,家電,2,site_C,2025-12-07,傷や汚れあり,121,82,65449
R00191,P01192,MC-8911-1192,ホビー,2,site_A,2026-01-13,ほぼ新品,109,70,25936
R00192,P00179,MC-9712-0179,スポーツ,0,site_E,2026-01-21,傷や汚れあり,346,28,2256
R00193,P01404,MC-5177-1404,ファッション,2,site_B,2025-11-11,傷や汚れあり,116,29,15825
R00194,P00862,MC-5149-0862,ファッション,2,site_C,2026-01-27,全体的に状態が悪い,53,71,7201
R00195,P01954,MC-1757-1954,ホビー,2,site_B,2025-12-27,新品,215,70,20579
R00196,P00819,MC-5438-0819,ファッション,0,site_D,2026-02-07,傷や汚れあり,128,60,770
R00197,P01826,MC-5936-1826,ファッション,1,site_D,2026-01-08,ほぼ新品,106,17,6402
R00198,P00368,MC-6675-0368,スポーツ,0,site_B,2026-01-10,ほぼ新品,144,56,9402
R00199,P01496,MC-3680-1496,スポーツ,1,site_E,2025-12-29,ほぼ新品,67,94,11193
R00203,P01045,MC-3705-1045,家電,1,site_A,2026-02-26,ほぼ新品,10,125,40642
R00204,P00067,MC-2226-0067,ホビー,1,site_B,2026-02-21,ほぼ新品,119,97,23606
R00205,P01169,MC-3197-1169,ファッション,0,site_D,2026-02-15,ほぼ新品,167,16,2446
R00206,P00119,MC-6420-0119,ホビー,1,site_E,2025-10-22,傷や汚れあり,48,114,4117
R00207,P00596,MC-8166-0596,ホビー,2,site_C,2025-10-22,ほぼ新品,17,123,11144
R00208,P02014,MC-3522-2014,ホビー,1,site_D,2026-01-07,傷や汚れあり,200,84,3474
R00210,P01676,MC-3767-1676,ファッション,0,site_A,2025-12-25,ほぼ新品,126,71,9130
R00211,P00096,MC-6588-0096,ファッション,1,site_A,2026-02-18,新品,83,99,11331
R00212,P00546,MC-4569-0546,ファッション,0,site_A,2025-11-06,ほぼ新品,106,40,6506
R00214,P00889,MC-4667-0889,本・音楽,0,site_C,2025-11-19,傷や汚れあり,125,74,574
R00215,P01425,MC-3606-1425,本・音楽,2,site_E,2025-12-19,傷や汚れあり,82,27,1359
R00216,P01977,MC-9970-1977,ファッション,1,site_E,2025-10-05,傷や汚れあり,207,95,10977
R00217,P00073,MC-5281-0073,ホビー,1,site_E,2025-10-24,傷や汚れあり,359,54,6139
R00218,P00942,MC-4217-0942,家電,1,site_E,2026-01-23,新品,62,118,42447
R00219,P01153,MC-6225-1153,ホビー,2,site_B,2026-02-08,ほぼ新品,28,69,20342
R00220,P00622,MC-4367-0622,家電,0,site_D,2025-10-30,ほぼ新品,38,59,19343
R00221,P01231,MC-1793-1231,ファッション,0,site_A,2026-01-15,傷や汚れあり,128,69,5790
R00222,P00976,MC-2505-0976,家電,0,site_D,2026-02-05,全体的に状態が悪い,52,49,9264
R00223,P00883,MC-9672-0883,ホビー,0,site_D,2025-11-21,新品,112,70,26826
R00225,P00488,MC-9576-0488,本・音楽,1,site_D,2025-12-05,ほぼ新品,116,65,1523
R00226,P01998,MC-1693-1998,家電,1,site_B,2025-12-29,全体的に状態が悪い,193,78,5259
R00228,P00267,MC-9281-0267,ファッション,1,site_C,2025-10-13,傷や汚れあり,72,78,2759
R00229,P01142,MC-5036-1142,ホビー,0,site_A,2025-11-28,傷や汚れあり,45,110,3050
R00231,P01788,MC-2336-1788,本・音楽,0,site_C,2025-11-25,新品,376,17,2386
R00232,P01441,MC-7682-1441,スポーツ,0,site_D,2025-11-24,全体的に状態が悪い,58,91,4472
R00233,P00796,MC-9855-0796,本・音楽,1,site_E,2026-01-24,ほぼ新品,43,24,1092
R00235,P01022,MC-2001-1022,ホビー,1,site_E,2025-12-27,新品,133,73,35277
R00237,P01568,MC-1249-1568,ファッション,0,site_D,2025-11-20,傷や汚れあり,64,18,1073
R00239,P00788,MC-2306-0788,スポーツ,0,site_A,2026-02-12,傷や汚れあり,227,90,7080
R00240,P02087,MC-1221-2087,本・音楽,0,site_A,2025-11-09,傷や汚れあり,57,102,1895
R00242,P00204,MC-3185-0204,ファッション,0,site_A,2025-10-28,ほぼ新品,61,79,4905
R00243,P01876,MC-9971-1876,家電,1,site_A,2026-02-02,傷や汚れあり,127,78,11042
R00244,P00408,MC-9421-0408,家電,0,site_C,2026-01-14,傷や汚れあり,204,118,7050
R00245,P01569,MC-8026-1569,家電,1,site_E,2025-12-23,傷や汚れあり,346,123,29472
R00247,P01524,MC-9840-1524,ホビー,2,site_B,2026-01-14,新品,268,73,32981
R00248,P00695,MC-3766-0695,ファッション,1,site_D,2026-01-08,ほぼ新品,130,45,5031
R00249,P01411,MC-2062-1411,家電,1,site_B,2025-11-05,新品,636,102,96653
R00250,P01074,MC-1606-1074,ファッション,0,site_A,2026-01-18,傷や汚れあり,404,77,4565
R00253,P00011,MC-2559-0011,ファッション,2,site_B,2025-10-15,ほぼ新品,108,34,19596
R00254,P01089,MC-6187-1089,ファッション,1,site_C,2026-02-12,ほぼ新品,278,49,15816
R00255,P01905,MC-1357-1905,ファッション,0,site_A,2025-10-30,傷や汚れあり,120,65,3328
R00257,P00059,MC-4745-0059,ファッション,1,site_D,2025-12-05,ほぼ新品,220,25,10412
R00258,P00064,MC-4362-0064,本・音楽,0,site_D,2026-02-09,ほぼ新品,148,59,695
R00259,P00941,MC-8976-0941,ファッション,1,site_E,2025-10-14,ほぼ新品,249,94,9669
R00260,P01641,MC-5259-1641,家電,0,site_B,2025-12-26,新品,58,124,32948
R00262,P00026,MC-6383-0026,ホビー,0,site_E,2025-10-31,傷や汚れあり,53,126,4766
R00263,P01384,MC-8436-1384,本・音楽,1,site_C,2026-02-18,傷や汚れあり,30,52,338
R00264,P00582,MC-1947-0582,ホビー,0,site_B,2025-12-26,傷や汚れあり,157,82,8910
R00265,P00860,MC-2580-0860,ファッション,0,site_B,2025-12-30,新品,163,78,2977
R00266,P01621,MC-9245-1621,本・音楽,0,site_A,2026-01-21,新品,365,36,2731
R00267,P01639,MC-9420-1639,ファッション,0,site_E,2025-11-11,ほぼ新品,43,61,4659
R00268,P00470,MC-3342-0470,ホビー,2,site_C,2025-12-02,傷や汚れあり,112,23,3651
R00269,P00636,MC-9455-0636,家電,0,site_B,2025-10-19,傷や汚れあり,40,37,24119
R00270,P01450,MC-1163-1450,家電,0,site_E,2025-12-07,全体的に状態が悪い,169,107,20554
R00271,P02130,MC-8481-2130,本・音楽,0,site_C,2025-11-06,全体的に状態が悪い,131,79,1166
R00272,P02197,MC-9031-2197,スポーツ,1,site_A,2026-01-25,傷や汚れあり,122,121,7614
R00273,P02013,MC-1611-2013,家電,1,site_B,2025-10-02,全体的に状態が悪い,131,49,56350
R00274,P01862,MC-1293-1862,本・音楽,1,site_D,2026-02-19,新品,211,118,1553
R00276,P01207,MC-6479-1207,スポーツ,0,site_D,2025-10-19,傷や汚れあり,34,49,2111
R00277,P01779,MC-1741-1779,ファッション,1,site_C,2025-11-05,傷や汚れあり,184,22,6819
R00278,P01129,MC-8452-1129,本・音楽,0,site_C,2026-01-21,ほぼ新品,168,112,511
R00279,P01330,MC-7022-1330,ホビー,0,site_C,2026-01-25,傷や汚れあり,74,42,2796
R00280,P01119,MC-5750-1119,ホビー,0,site_E,2026-01-01,傷や汚れあり,56,95,10426
R00281,P01122,MC-3898-1122,ホビー,1,site_B,2025-10-06,新品,128,31,11761
R00282,P00182,MC-6029-0182,家電,1,site_E,2026-01-14,新品,102,106,20257
R00283,P00014,MC-3747-0014,家電,1,site_B,2026-01-13,ほぼ新品,77,56,34487
R00284,P02039,MC-2484-2039,本・音楽,0,site_C,2025-10-05,傷や汚れあり,114,42,730
R00285,P01334,MC-3528-1334,本・音楽,0,site_A,2025-10-10,傷や汚れあり,198,125,1581
R00287,P00464,MC-1714-0464,スポーツ,0,site_C,2025-11-25,新品,234,21,18026
R00288,P02039,MC-2484-2039,本・音楽,0,site_D,2025-10-05,ほぼ新品,175,55,810
R00289,P00181,MC-2560-0181,ファッション,0,site_B,2026-01-20,全体的に状態が悪い,78,121,5191
R00290,P00877,MC-7704-0877,ホビー,0,site_E,2025-10-07,傷や汚れあり,89,122,6154
R00291,P02089,MC-3255-2089,本・音楽,2,site_E,2025-11-05,新品,105,29,5241
R00292,P01140,MC-4581-1140,家電,0,site_C,2025-12-28,ほぼ新品,64,63,75335
R00293,P00036,MC-1386-0036,ファッション,0,site_C,2025-12-21,新品,176,32,8886
R00295,P00373,MC-6997-0373,ホビー,0,site_A,2026-01-13,傷や汚れあり,107,121,6499
R00296,P01093,MC-8456-1093,本・音楽,1,site_C,2026-02-10,全体的に状態が悪い,174,23,686
R00299,P00271,MC-7706-0271,家電,1,site_D,2025-12-16,傷や汚れあり,147,59,24659
R00300,P00472,MC-2153-0472,本・音楽,2,site_B,2026-02-28,傷や汚れあり,437,129,1600
R00301,P01902,MC-9058-1902,ファッション,2,site_C,2025-10-13,傷や汚れあり,435,89,7715
R00302,P00262,MC-1997-0262,ホビー,0,site_C,2026-01-17,ほぼ新品,39,23,7670
R00303,P00839,MC-2277-0839,ファッション,1,site_E,2025-11-28,傷や汚れあり,219,113,7160
R00304,P02131,MC-4321-2131,ファッション,0,site_D,2026-02-09,傷や汚れあり,186,38,3684
R00305,P00545,MC-4224-0545,家電,2,site_B,2026-02-20,傷や汚れあり,194,99,35486
R00306,P00702,MC-8206-0702,本・音楽,1,site_A,2025-10-31,ほぼ新品,210,32,696
R00307,P00313,MC-1779-0313,家電,0,site_B,2025-11-01,新品,192,95,68803
R00308,P00340,MC-5099-0340,家電,1,site_C,2025-10-14,新品,505,25,187505
R00309,P01614,MC-9985-1614,家電,0,site_C,2025-12-27,ほぼ新品,97,102,112029
R00310,P01125,MC-5844-1125,ホビー,0,site_B,2026-02-08,ほぼ新品,109,96,1346
R00311,P00932,MC-8009-0932,ファッション,0,site_C,2025-11-14,傷や汚れあり,87,104,1858
R00312,P00435,MC-5772-0435,スポーツ,2,site_C,2026-01-08,ほぼ新品,64,83,23897
R00313,P01409,MC-7550-1409,家電,1,site_B,2025-12-28,新品,323,118,192182
R00314,P01441,MC-7682-1441,スポーツ,0,site_B,2025-11-22,全体的に状態が悪い,187,34,7048
R00315,P00096,MC-6588-0096,ファッション,1,site_C,2026-02-17,傷や汚れあり,234,82,14323
R00316,P02111,MC-6633-2111,ホビー,0,site_C,2025-12-23,傷や汚れあり,128,66,2937
R00317,P00629,MC-1441-0629,ホビー,0,site_C,2026-01-15,ほぼ新品,160,97,6305
R00318,P01767,MC-3112-1767,本・音楽,0,site_E,2025-10-12,新品,170,96,2178
R00319,P00034,MC-3604-0034,本・音楽,0,site_D,2025-11-15,傷や汚れあり,176,63,423
R00321,P01401,MC-4448-1401,本・音楽,0,site_E,2025-11-12,ほぼ新品,155,81,3644
R00322,P01776,MC-2275-1776,本・音楽,2,site_A,2025-10-28,新品,85,19,1750
R00323,P00076,MC-6741-0076,スポーツ,1,site_B,2026-02-28,ほぼ新品,194,58,7380
R00324,P01643,MC-3741-1643,家電,1,site_E,2026-01-28,新品,174,57,41538
R00325,P01235,MC-5229-1235,ファッション,0,site_C,2025-12-24,傷や汚れあり,128,79,3066
R00326,P01656,MC-1360-1656,家電,0,site_B,2026-01-27,新品,181,26,52346
R00327,P00629,MC-1441-0629,ホビー,0,site_D,2026-01-15,ほぼ新品,101,108,6301
R00328,P00888,MC-9636-0888,家電,0,site_E,2026-01-08,ほぼ新品,322,75,29502
R00329,P00661,MC-9507-0661,ホビー,0,site_A,2025-10-04,新品,137,110,22772
R00330,P01843,MC-3827-1843,ファッション,1,site_C,2026-02-04,傷や汚れあり,57,118,2327
R00331,P00115,MC-8404-0115,スポーツ,0,site_C,2025-10-13,全体的に状態が悪い,36,114,6114
R00332,P02110,MC-3063-2110,ファッション,0,site_E,2026-02-17,ほぼ新品,59,122,4504
