item_id,category,brand,condition,shipping,listed_at,description_len,views,price
tr_00050,家電,,ほぼ新品,1,2026-03-25,184.0,-1,29875
tr_00051,本・音楽,brand_05,ほぼ新品,1,2026-03-29,235.0,106,1883
tr_00052,ファッション,brand_12,ほぼ新品,1,2026-01-03,27.0,114,2258
tr_00053,ホビー,brand_16,傷や汚れあり,0,2026-04-17,,78,8409
tr_00054,家電,brand_04,傷や汚れあり,1,2026-04-11,207.0,68,19727
tr_00055,本・音楽,brand_04,傷や汚れあり,0,2026-01-22,,170,1266
tr_00056,ホビー,brand_18,傷や汚れあり,1,2026-04-18,554.0,151,4605
tr_00057,スポーツ,brand_03,全体的に状態が悪い,1,2026-01-09,439.0,257,3357
tr_00058,家電,brand_12,全体的に状態が悪い,0,2026-01-25,523.0,42,10888
tr_00059,ファッション,brand_08,傷や汚れあり,1,2026-02-12,367.0,27,3020
tr_00060,ホビー,brand_08,傷や汚れあり,1,2026-01-26,462.0,99,8542
tr_00061,本・音楽,,全体的に状態が悪い,1,2026-04-12,254.0,55,97100
tr_00062,家電,brand_18,新品,1,2026-01-06,130.0,88,26478
tr_00063,ホビー,brand_14,新品,1,2026-02-28,504.0,95,9736
tr_00064,家電,brand_19,傷や汚れあり,1,2026-04-25,275.0,129,21055
tr_00065,家電,brand_04,全体的に状態が悪い,1,2026-04-07,230.0,121,9928
tr_00066,家電,brand_10,新品,1,2026-01-03,117.0,36,12116
tr_00067,ファッション,brand_05,全体的に状態が悪い,1,2026-02-03,437.0,141,4037
tr_00068,スポーツ,brand_09,ほぼ新品,1,2026-01-17,248.0,140,8352
tr_00069,ファッション,brand_07,ほぼ新品,1,2026-01-10,494.0,193,3242
tr_00070,ファッション,brand_16,ほぼ新品,1,2026-01-15,245.0,90,10182
tr_00071,家電,brand_08,傷や汚れあり,1,2026-03-17,324.0,142,11509
tr_00072,本・音楽,,ほぼ新品,1,2026-04-20,366.0,92,3626
tr_00073,本・音楽,,新品,0,2026-04-29,292.0,82,912
tr_00074,スポーツ,brand_06,新品,0,2026-02-19,273.0,178,8207
tr_00075,スポーツ,brand_14,傷や汚れあり,1,2026-02-05,107.0,63,9374
tr_00076,ファッション,brand_16,傷や汚れあり,0,2026-02-17,573.0,147,9153
tr_00077,ファッション,brand_03,全体的に状態が悪い,0,2026-04-12,389.0,245,8486
tr_00078,家電,brand_07,傷や汚れあり,1,2026-03-11,239.0,28,21271
tr_00079,家電,brand_00,傷や汚れあり,1,2026-01-03,191.0,84,18687
tr_00080,ファッション,brand_19,ほぼ新品,0,2026-04-10,194.0,91,4392
tr_00081,家電,brand_15,ほぼ新品,1,2026-02-03,350.0,150,22548
tr_00082,ホビー,brand_04,ほぼ新品,0,2026-02-19,191.0,33,9154
tr_00083,ホビー,brand_09,ほぼ新品,0,2026-03-07,482.0,64,11292
tr_00084,ファッション,,ほぼ新品,1,2026-03-21,525.0,102,7794
tr_00085,スポーツ,brand_08,全体的に状態が悪い,0,2026-03-16,90.0,25,5258
tr_00086,ファッション,brand_04,傷や汚れあり,0,2026-03-22,406.0,226,4642
tr_00087,ホビー,brand_02,ほぼ新品,0,2026-01-28,64.0,100,10125
tr_00088,家電,brand_06,傷や汚れあり,1,2026-02-04,203.0,7,1039400
tr_00089,家電,,新品,1,2026-01-09,319.0,57,24418
tr_00090,本・音楽,,傷や汚れあり,1,2026-03-28,191.0,79,1127
tr_00091,ファッション,,ほぼ新品,0,2026-02-16,531.0,66,7619
tr_00092,ファッション,brand_06,傷や汚れあり,1,2026-02-02,340.0,33,6283
tr_00093,ファッション,brand_00,ほぼ新品,0,2026-01-30,120.0,106,4129
tr_00094,ホビー,brand_16,全体的に状態が悪い,0,2026-01-20,225.0,96,2426
tr_00095,家電,brand_08,全体的に状態が悪い,1,2026-01-13,582.0,75,17317
tr_00096,ファッション,brand_10,ほぼ新品,1,2026-04-26,99.0,287,4172
tr_00097,本・音楽,,全体的に状態が悪い,1,2026-04-15,578.0,161,1054
tr_00098,スポーツ,brand_17,傷や汚れあり,1,2026-03-30,505.0,109,12025
tr_00099,ファッション,brand_14,全体的に状態が悪い,1,2026-04-09,48.0,121,2768
tr_00100,ファッション,brand_06,ほぼ新品,1,2026-02-23,270.0,73,6247
tr_00101,家電,brand_05,ほぼ新品,0,2026-03-29,540.0,216,23469
tr_00102,ホビー,brand_11,ほぼ新品,1,2026-01-17,,182,4369
tr_00103,ファッション,brand_13,ほぼ新品,1,2026-01-10,489.0,108,7280
tr_00104,家電,brand_15,傷や汚れあり,0,2026-02-16,417.0,52,21068
tr_00105,家電,brand_07,傷や汚れあり,1,2026-01-05,168.0,106,15524
tr_00106,家電,brand_17,ほぼ新品,1,2026-03-16,537.0,77,27923
tr_00107,家電,brand_08,ほぼ新品,0,2026-04-03,575.0,35,23878
tr_00108,家電,brand_12,傷や汚れあり,0,2026-01-20,296.0,-1,19368
tr_00109,ファッション,brand_05,ほぼ新品,0,2026-02-04,481.0,305,0
tr_00110,家電,brand_10,傷や汚れあり,1,2026-01-18,173.0,95,17020
tr_00111,ファッション,brand_17,全体的に状態が悪い,1,2026-01-26,487.0,88,2809
tr_00112,家電,brand_18,ほぼ新品,1,2026-01-14,550.0,99,18276
tr_00113,ファッション,brand_05,傷や汚れあり,0,2026-02-01,414.0,27,2761
tr_00114,本・音楽,,傷や汚れあり,1,2026-02-24,410.0,80,1874
tr_00115,ホビー,brand_00,全体的に状態が悪い,0,2026-02-20,414.0,244,3962
tr_00116,本・音楽,brand_17,傷や汚れあり,0,2026-03-01,181.0,33,1436
tr_00117,ホビー,brand_13,傷や汚れあり,0,2026-02-09,584.0,37,8663
tr_00118,家電,brand_17,新品,1,2026-04-16,474.0,20,20191
tr_00119,ファッション,brand_06,傷や汚れあり,0,2026-01-18,428.0,42,2952
tr_00120,家電,brand_07,全体的に状態が悪い,1,2026-03-11,568.0,45,26094
tr_00121,家電,brand_12,全体的に状態が悪い,1,2026-01-17,528.0,109,10725
tr_00122,スポーツ,brand_19,全体的に状態が悪い,0,2026-01-01,,43,4999
tr_00123,ファッション,brand_05,傷や汚れあり,1,2026-04-29,521.0,115,1344
tr_00124,ファッション,brand_12,全体的に状態が悪い,1,2026-03-04,386.0,288,1656
tr_00125,ファッション,brand_14,全体的に状態が悪い,1,2026-01-23,500.0,100,2403
tr_00126,ファッション,brand_08,全体的に状態が悪い,0,2026-03-09,289.0,-1,2348
tr_00127,スポーツ,brand_04,傷や汚れあり,0,2026-01-22,443.0,125,11557
tr_00128,スポーツ,brand_09,ほぼ新品,1,2026-03-28,,108,8453
tr_00129,ホビー,brand_16,ほぼ新品,0,2026-04-23,305.0,106,6323
tr_00130,ホビー,brand_14,ほぼ新品,0,2026-04-08,418.0,47,8598
tr_00131,家電,brand_08,全体的に状態が悪い,1,2026-01-06,506.0,68,28661
tr_00132,ファッション,brand_13,ほぼ新品,1,2026-04-27,45.0,37,11008
tr_00133,家電,brand_18,全体的に状態が悪い,0,2026-04-14,550.0,178,6939
tr_00134,ホビー,brand_11,ほぼ新品,1,2026-04-04,178.0,50,7052
tr_00135,本・音楽,brand_06,新品,1,2026-01-06,309.0,128,2872
tr_00136,ファッション,,傷や汚れあり,0,2026-01-30,400.0,89,3344
tr_00137,ファッション,brand_01,全体的に状態が悪い,1,2026-02-13,345.0,182,1979
tr_00138,家電,brand_12,ほぼ新品,0,2026-01-02,300.0,303,24620
tr_00139,家電,brand_00,傷や汚れあり,1,2026-04-28,562.0,137,19264
tr_00140,家電,brand_14,傷や汚れあり,1,2026-04-14,94.0,35,13591
tr_00141,ファッション,brand_11,ほぼ新品,0,2026-02-03,569.0,139,10376
tr_00142,ホビー,brand_13,全体的に状態が悪い,1,2026-02-12,337.0,53,7984
tr_00143,家電,brand_13,全体的に状態が悪い,0,2026-04-06,163.0,6,17056
tr_00144,ファッション,brand_00,ほぼ新品,0,2026-03-04,444.0,42,6170
tr_00145,ファッション,brand_06,全体的に状態が悪い,0,2026-04-22,152.0,17,2061
tr_00146,スポーツ,brand_03,ほぼ新品,1,2026-03-15,402.0,73,10826
tr_00147,家電,brand_08,新品,1,2026-04-23,179.0,50,38881
tr_00148,家電,brand_07,新品,1,2026-01-16,557.0,21,13080
tr_00149,ファッション,brand_08,ほぼ新品,0,2026-03-25,597.0,54,3939
tr_00150,家電,brand_02,ほぼ新品,1,2026-03-06,71.0,20,18508
tr_00151,ホビー,brand_05,傷や汚れあり,1,2026-02-01,279.0,215,4522
tr_00152,家電,brand_05,傷や汚れあり,1,2026-03-15,139.0,220,24648
tr_00153,家電,brand_09,傷や汚れあり,0,2026-04-26,106.0,25,14916
tr_00154,ファッション,brand_14,新品,1,2026-04-02,271.0,83,7085
tr_00155,ファッション,brand_09,ほぼ新品,1,2026-04-23,274.0,72,2582
tr_00156,スポーツ,brand_14,傷や汚れあり,1,2026-02-01,90.0,150,12381
tr_00157,ホビー,,傷や汚れあり,1,2026-04-29,599.0,163,15087
tr_00158,ファッション,brand_14,ほぼ新品,0,2026-01-03,103.0,72,4487
tr_00159,家電,brand_16,全体的に状態が悪い,1,2026-01-28,231.0,162,12037
tr_00160,ファッション,brand_10,ほぼ新品,1,2026-02-06,426.0,67,8518
tr_00161,本・音楽,,ほぼ新品,1,2026-02-18,581.0,-1,2266
tr_00162,スポーツ,brand_04,全体的に状態が悪い,1,2026-03-10,350.0,16,7527
tr_00163,家電,brand_09,傷や汚れあり,1,2026-04-26,25.0,47,11419
tr_00164,本・音楽,brand_01,傷や汚れあり,0,2026-01-03,,67,1004
tr_00165,家電,brand_09,傷や汚れあり,0,2026-03-18,268.0,98,13097
tr_00166,ホビー,brand_02,新品,0,2026-03-12,66.0,44,7090
tr_00167,本・音楽,brand_15,傷や汚れあり,1,2026-02-16,551.0,21,1007
tr_00168,ホビー,brand_17,傷や汚れあり,0,2026-03-25,447.0,81,3563
tr_00169,ホビー,brand_17,全体的に状態が悪い,0,2026-03-15,515.0,146,2443
tr_00170,本・音楽,brand_04,ほぼ新品,1,2026-01-02,473.0,243,3028
tr_00171,ホビー,brand_07,ほぼ新品,0,2026-02-21,280.0,184,3710
tr_00172,本・音楽,,傷や汚れあり,0,2026-04-29,323.0,162,1879
tr_00173,ファッション,brand_03,ほぼ新品,1,2026-03-07,598.0,105,12471
tr_00174,ホビー,brand_02,ほぼ新品,0,2026-04-11,101.0,44,9556
tr_00175,スポーツ,brand_09,傷や汚れあり,0,2026-01-30,320.0,59,5265
tr_00176,ファッション,,傷や汚れあり,1,2026-04-25,519.0,47,9922
tr_00177,本・音楽,,傷や汚れあり,1,2026-02-16,564.0,66,1817
tr_00178,ホビー,brand_14,全体的に状態が悪い,0,2026-01-02,142.0,112,6433
tr_00179,ホビー,brand_06,全体的に状態が悪い,0,2026-04-23,405.0,137,4324
tr_00180,ホビー,brand_03,傷や汚れあり,1,2026-04-29,273.0,166,4274
tr_00181,本・音楽,,ほぼ新品,1,2026-02-14,566.0,160,2263
tr_00182,家電,brand_03,傷や汚れあり,1,2026-02-14,472.0,70,29221
tr_00183,スポーツ,brand_00,傷や汚れあり,0,2026-04-26,583.0,122,7799
tr_00184,ファッション,brand_17,新品,1,2026-04-03,,91,17674
tr_00185,家電,,全体的に状態が悪い,0,2026-04-20,92.0,43,5973
tr_00186,ホビー,brand_18,傷や汚れあり,1,2026-01-22,219.0,27,3411
tr_00187,本・音楽,brand_01,全体的に状態が悪い,1,2026-02-14,306.0,92,984
tr_00188,家電,brand_19,傷や汚れあり,1,2026-03-07,382.0,61,8554
tr_00189,家電,brand_01,傷や汚れあり,0,2026-01-09,322.0,103,16623
tr_00190,ファッション,brand_07,傷や汚れあり,1,2026-01-20,565.0,24,5752
tr_00191,家電,brand_09,全体的に状態が悪い,1,2026-04-19,167.0,123,17130
tr_00192,家電,brand_15,傷や汚れあり,1,2026-01-22,,54,30156
tr_00193,家電,brand_01,ほぼ新品,1,2026-04-28,171.0,66,24666
tr_00194,家電,brand_16,全体的に状態が悪い,1,2026-03-26,173.0,109,7230
tr_00195,ファッション,brand_13,全体的に状態が悪い,1,2026-02-13,66.0,44,1788
tr_00196,ファッション,brand_14,ほぼ新品,1,2026-02-22,102.0,16,5485
tr_00197,ファッション,brand_01,ほぼ新品,1,2026-03-05,581.0,99,4717
tr_00198,ホビー,brand_09,全体的に状態が悪い,1,2026-04-18,256.0,14,5153
tr_00199,スポーツ,brand_15,新品,0,2026-04-17,384.0,36,37367
tr_00200,ファッション,brand_05,傷や汚れあり,0,2026-01-29,319.0,85,5922
tr_00201,ファッション,,全体的に状態が悪い,1,2026-04-29,401.0,60,6473
tr_00202,スポーツ,brand_02,新品,1,2026-03-01,343.0,34,16439
tr_00203,ホビー,brand_05,ほぼ新品,0,2026-01-12,485.0,55,10036
tr_00204,ファッション,brand_09,新品,1,2026-03-28,583.0,133,9279
tr_00205,スポーツ,brand_17,傷や汚れあり,1,2026-03-10,166.0,53,4597
tr_00206,本・音楽,,傷や汚れあり,1,2026-04-24,390.0,40,3052
tr_00207,本・音楽,brand_02,傷や汚れあり,1,2026-04-02,398.0,207,1789
tr_00208,ホビー,brand_18,ほぼ新品,1,2026-02-24,423.0,110,10375
tr_00209,ファッション,,ほぼ新品,0,2026-01-23,,180,4860
tr_00210,ホビー,,ほぼ新品,1,2026-03-24,,296,4122
tr_00211,ホビー,brand_00,新品,0,2026-02-05,325.0,225,11925
tr_00212,家電,brand_13,新品,0,2026-01-02,322.0,94,45211
tr_00213,ファッション,brand_14,傷や汚れあり,0,2026-02-07,337.0,229,6997
tr_00214,スポーツ,brand_00,傷や汚れあり,0,2026-02-20,,14,11181
tr_00215,ホビー,brand_18,傷や汚れあり,0,2026-02-11,72.0,28,5985
tr_00216,本・音楽,,傷や汚れあり,1,2026-01-07,177.0,88,3143
tr_00217,スポーツ,,新品,1,2026-03-06,285.0,109,7992
tr_00218,ファッション,brand_09,傷や汚れあり,1,2026-03-19,372.0,50,6584
tr_00219,ホビー,brand_09,傷や汚れあり,1,2026-02-07,390.0,77,11489
tr_00220,ホビー,brand_15,ほぼ新品,1,2026-03-10,235.0,29,9316
tr_00221,本・音楽,brand_08,新品,1,2026-03-25,153.0,176,1883
tr_00222,ホビー,brand_19,ほぼ新品,0,2026-01-21,,43,8654
tr_00223,スポーツ,brand_10,ほぼ新品,1,2026-04-04,568.0,34,8725
tr_00224,本・音楽,brand_00,傷や汚れあり,1,2026-02-27,381.0,73,2632
tr_00225,ホビー,brand_17,ほぼ新品,1,2026-02-15,593.0,39,14041
tr_00226,スポーツ,brand_06,全体的に状態が悪い,1,2026-02-28,458.0,66,6423
tr_00227,本・音楽,,傷や汚れあり,0,2026-04-20,,15,1706
tr_00228,家電,brand_18,傷や汚れあり,1,2026-03-28,209.0,110,11287
tr_00229,家電,brand_11,傷や汚れあり,0,2026-02-22,446.0,18,19605
tr_00230,家電,brand_09,傷や汚れあり,1,2026-02-07,238.0,74,15937
tr_00231,ホビー,brand_05,ほぼ新品,0,2026-02-19,223.0,38,4295
tr_00232,家電,brand_13,新品,1,2026-01-29,433.0,6,27805
tr_00233,ファッション,brand_04,傷や汚れあり,0,2026-01-24,446.0,106,5665
tr_00234,ホビー,brand_00,傷や汚れあり,1,2026-04-19,355.0,77,8532
tr_00235,家電,brand_10,ほぼ新品,1,2026-01-19,489.0,45,23383
tr_00236,ホビー,brand_04,傷や汚れあり,0,2026-01-30,428.0,81,6876
tr_00237,ホビー,brand_03,全体的に状態が悪い,1,2026-03-10,309.0,51,4470
tr_00238,ファッション,brand_04,傷や汚れあり,1,2026-03-22,140.0,85,5495
tr_00239,ホビー,brand_13,ほぼ新品,1,2026-01-17,440.0,89,6597
tr_00240,スポーツ,brand_15,傷や汚れあり,1,2026-01-21,534.0,96,9404
tr_00241,ホビー,brand_12,ほぼ新品,1,2026-03-26,215.0,39,14852
tr_00242,スポーツ,brand_04,傷や汚れあり,1,2026-04-15,466.0,217,8736
tr_00243,スポーツ,brand_00,新品,1,2026-03-16,127.0,289,8996
tr_00244,本・音楽,brand_15,傷や汚れあり,1,2026-01-06,317.0,96,1320
tr_00245,ホビー,brand_08,ほぼ新品,0,2026-03-26,506.0,124,10170
tr_00246,スポーツ,brand_14,新品,0,2026-02-10,496.0,97,19613
tr_00247,ファッション,brand_18,ほぼ新品,0,2026-02-22,327.0,39,4724
tr_00248,ファッション,brand_14,ほぼ新品,0,2026-02-02,229.0,93,4052
tr_00249,本・音楽,,傷や汚れあり,1,2026-02-25,134.0,126,101100
tr_00250,家電,brand_07,ほぼ新品,1,2026-03-23,26.0,92,37033
tr_00251,ホビー,brand_09,新品,0,2026-01-16,516.0,129,13969
tr_00252,本・音楽,,ほぼ新品,0,2026-03-31,307.0,156,2442
tr_00253,ホビー,brand_17,全体的に状態が悪い,0,2026-01-22,119.0,31,3330
tr_00254,ホビー,brand_09,ほぼ新品,0,2026-04-03,454.0,98,13925
tr_00255,ホビー,brand_11,傷や汚れあり,1,2026-04-26,461.0,52,6370
tr_00256,ファッション,brand_07,傷や汚れあり,1,2026-02-04,527.0,99,5683
tr_00257,ホビー,brand_17,傷や汚れあり,1,2026-04-03,142.0,63,4883
tr_00258,スポーツ,brand_03,ほぼ新品,0,2026-04-29,302.0,55,9200
tr_00259,スポーツ,brand_05,新品,0,2026-04-01,186.0,140,14855
tr_00260,ホビー,brand_12,傷や汚れあり,1,2026-03-20,581.0,256,4127
tr_00261,家電,brand_11,傷や汚れあり,0,2026-01-28,571.0,36,14328
tr_00262,家電,brand_07,ほぼ新品,0,2026-03-08,70.0,22,20185
tr_00263,家電,brand_09,全体的に状態が悪い,0,2026-02-05,298.0,70,7335
tr_00264,ホビー,brand_12,傷や汚れあり,0,2026-04-03,572.0,36,5873
tr_00265,家電,brand_17,全体的に状態が悪い,0,2026-03-23,582.0,28,23241
tr_00266,本・音楽,brand_07,傷や汚れあり,1,2026-02-03,297.0,28,1570
tr_00267,本・音楽,,ほぼ新品,0,2026-01-25,573.0,56,2260
tr_00268,ファッション,brand_01,傷や汚れあり,0,2026-01-19,340.0,36,2611
tr_00269,本・音楽,brand_18,傷や汚れあり,1,2026-04-16,71.0,23,1530
tr_00270,家電,brand_05,新品,0,2026-01-24,446.0,15,18849
tr_00271,ファッション,brand_07,全体的に状態が悪い,1,2026-03-12,416.0,102,2924
tr_00272,家電,brand_02,ほぼ新品,1,2026-01-07,38.0,192,14652
tr_00273,スポーツ,brand_03,傷や汚れあり,1,2026-04-29,512.0,9,7938
tr_00274,本・音楽,brand_01,ほぼ新品,0,2026-03-02,542.0,30,1526
tr_00275,ファッション,brand_14,新品,0,2026-04-16,149.0,50,2725
tr_00276,家電,brand_18,ほぼ新品,1,2026-01-08,561.0,58,24001
tr_00277,ホビー,brand_12,全体的に状態が悪い,0,2026-03-01,162.0,150,6502
tr_00278,家電,brand_14,傷や汚れあり,1,2026-02-08,242.0,38,6575
tr_00279,ファッション,brand_16,ほぼ新品,1,2026-03-27,214.0,89,7082
tr_00280,ファッション,brand_18,ほぼ新品,1,2026-04-14,477.0,342,6140
tr_00281,ファッション,brand_07,ほぼ新品,0,2026-02-11,443.0,182,2898
tr_00282,ファッション,brand_18,ほぼ新品,1,2026-03-17,147.0,82,4406
tr_00283,ホビー,brand_03,新品,1,2026-04-19,93.0,71,8627
tr_00284,ホビー,brand_18,傷や汚れあり,0,2026-01-26,65.0,251,4697
tr_00285,ファッション,brand_12,ほぼ新品,0,2026-04-17,480.0,34,7392
tr_00286,本・音楽,,ほぼ新品,1,2026-02-07,415.0,138,2184
tr_00287,家電,brand_05,全体的に状態が悪い,0,2026-01-29,110.0,169,6370
tr_00288,ホビー,brand_09,ほぼ新品,1,2026-03-16,233.0,76,5199
tr_00289,家電,brand_02,ほぼ新品,0,2026-03-16,289.0,39,35238
tr_00290,本・音楽,,全体的に状態が悪い,0,2026-03-12,64.0,57,972
tr_00291,ホビー,brand_11,ほぼ新品,1,2026-01-03,71.0,10,5136
tr_00292,本・音楽,brand_01,傷や汚れあり,1,2026-02-23,93.0,51,1843
tr_00293,本・音楽,,ほぼ新品,1,2026-01-11,193.0,156,3338
tr_00294,本・音楽,,傷や汚れあり,1,2026-02-08,506.0,134,677
tr_00295,ファッション,brand_04,ほぼ新品,1,2026-03-16,553.0,38,18300
tr_00296,本・音楽,brand_01,ほぼ新品,1,2026-03-16,,175,0
tr_00297,スポーツ,,全体的に状態が悪い,0,2026-04-16,323.0,51,4423
tr_00298,ホビー,brand_18,ほぼ新品,1,2026-04-17,46.0,149,6049
tr_00299,家電,brand_17,全体的に状態が悪い,0,2026-01-01,413.0,60,11406
tr_00300,ホビー,,傷や汚れあり,1,2026-01-02,238.0,49,7259
tr_00301,スポーツ,brand_11,新品,0,2026-04-28,72.0,308,8462
tr_00302,ホビー,brand_10,傷や汚れあり,0,2026-01-03,456.0,410,7474
tr_00303,ホビー,brand_08,傷や汚れあり,1,2026-02-06,331.0,104,5844
tr_00304,ファッション,brand_06,ほぼ新品,1,2026-04-16,92.0,159,2676
tr_00305,家電,brand_19,傷や汚れあり,0,2026-02-27,329.0,90,17897
tr_00306,本・音楽,,ほぼ新品,0,2026-04-29,72.0,337,1388
tr_00307,家電,brand_01,傷や汚れあり,1,2026-01-18,198.0,73,8631
tr_00308,家電,,全体的に状態が悪い,1,2026-01-04,,29,13956
tr_00309,スポーツ,brand_13,傷や汚れあり,0,2026-04-18,45.0,150,7939
tr_00310,本・音楽,,新品,1,2026-03-16,536.0,335,3531
tr_00311,スポーツ,brand_12,ほぼ新品,0,2026-02-25,514.0,86,0
tr_00312,ファッション,brand_19,傷や汚れあり,0,2026-02-09,,151,5029
tr_00313,スポーツ,brand_00,ほぼ新品,0,2026-01-12,430.0,105,6247
tr_00314,スポーツ,brand_15,ほぼ新品,0,2026-01-29,203.0,57,7450
tr_00315,ファッション,brand_16,全体的に状態が悪い,0,2026-04-20,525.0,101,4354
tr_00316,ファッション,brand_05,新品,0,2026-04-26,163.0,77,12529
tr_00317,ファッション,brand_11,ほぼ新品,0,2026-01-22,312.0,89,5358
tr_00318,本・音楽,,新品,0,2026-01-21,,80,4329
tr_00319,家電,brand_07,傷や汚れあり,0,2026-03-09,482.0,48,9062
tr_00320,家電,brand_17,傷や汚れあり,1,2026-04-20,361.0,83,11852
tr_00321,家電,brand_01,新品,0,2026-03-04,309.0,81,3580200
tr_00322,家電,brand_09,ほぼ新品,1,2026-04-18,413.0,42,24855
tr_00323,スポーツ,brand_02,傷や汚れあり,1,2026-03-15,311.0,87,7910
tr_00324,ホビー,brand_16,新品,1,2026-04-27,291.0,15,12818
tr_00325,家電,brand_00,ほぼ新品,0,2026-02-19,212.0,38,34181
tr_00326,スポーツ,brand_13,全体的に状態が悪い,0,2026-04-28,109.0,62,3703
tr_00327,ファッション,brand_19,ほぼ新品,0,2026-02-07,125.0,84,8323
tr_00328,本・音楽,brand_04,全体的に状態が悪い,0,2026-02-18,46.0,128,576
tr_00329,ファッション,brand_16,傷や汚れあり,1,2026-01-28,94.0,124,1852
tr_00330,ファッション,brand_01,ほぼ新品,1,2026-01-31,151.0,51,9646
tr_00331,ファッション,brand_18,傷や汚れあり,0,2026-04-25,299.0,103,4664
tr_00332,スポーツ,brand_18,新品,1,2026-03-23,142.0,355,4011
tr_00333,ファッション,brand_06,ほぼ新品,0,2026-03-23,116.0,70,5639
tr_00334,ファッション,brand_11,全体的に状態が悪い,1,2026-03-18,287.0,67,2496
tr_00335,ファッション,brand_16,傷や汚れあり,1,2026-01-28,279.0,71,2864
